site,product,date,year,month,n_images,mean_cloud_pct
Kizilirmak Delta,DSWX_HLS,2024-12,2024,12,46,59.0
Kizilirmak Delta,DSWX_HLS,2025-01,2025,1,52,43.38461538461539
Kizilirmak Delta,DSWX_HLS,2025-02,2025,2,34,77.52941176470588
Kizilirmak Delta,DSWX_HLS,2025-03,2025,3,57,42.40350877192982
Kizilirmak Delta,DSWX_HLS,2025-04,2025,4,60,68.46666666666667
Kizilirmak Delta,DSWX_HLS,2025-05,2025,5,93,38.236559139784944
Kizilirmak Delta,DSWX_HLS,2025-06,2025,6,90,37.25555555555555
Kizilirmak Delta,DSWX_HLS,2025-07,2025,7,83,31.63855421686747
Kizilirmak Delta,DSWX_HLS,2025-08,2025,8,82,31.26829268292683
Kizilirmak Delta,DSWX_HLS,2025-09,2025,9,85,53.529411764705884
Kizilirmak Delta,DSWX_HLS,2025-10,2025,10,100,47.59
Kizilirmak Delta,DSWX_HLS,2025-11,2025,11,138,50.61594202898551
Kizilirmak Delta,DSWX_HLS,2025-12,2025,12,175,58.29142857142857
Kizilirmak Delta,DSWX_HLS,2026-01,2026,1,65,79.63076923076923
Kizilirmak Delta,DSWX_HLS,2026-02,2026,2,64,49.75
Kizilirmak Delta,DSWX_HLS,2026-03,2026,3,65,52.33846153846154
Kizilirmak Delta,DSWX_HLS,2026-04,2026,4,76,40.31578947368421
Kizilirmak Delta,DSWX_HLS,2026-05,2026,5,82,60.40243902439025
Kizilirmak Delta,DSWX_S1,2023-04,2023,4,0,
Kizilirmak Delta,DSWX_S1,2023-05,2023,5,0,
Kizilirmak Delta,DSWX_S1,2023-06,2023,6,0,
Kizilirmak Delta,DSWX_S1,2023-07,2023,7,0,
Kizilirmak Delta,DSWX_S1,2023-08,2023,8,0,
Kizilirmak Delta,DSWX_S1,2023-09,2023,9,0,
Kizilirmak Delta,DSWX_S1,2023-10,2023,10,0,
Kizilirmak Delta,DSWX_S1,2023-11,2023,11,0,
Kizilirmak Delta,DSWX_S1,2023-12,2023,12,0,
Kizilirmak Delta,DSWX_S1,2024-01,2024,1,0,
Kizilirmak Delta,DSWX_S1,2024-02,2024,2,0,
Kizilirmak Delta,DSWX_S1,2024-03,2024,3,0,
Kizilirmak Delta,DSWX_S1,2024-04,2024,4,0,
Kizilirmak Delta,DSWX_S1,2024-05,2024,5,0,
Kizilirmak Delta,DSWX_S1,2024-06,2024,6,0,
Kizilirmak Delta,DSWX_S1,2024-07,2024,7,0,
Kizilirmak Delta,DSWX_S1,2024-08,2024,8,28,
Kizilirmak Delta,DSWX_S1,2024-09,2024,9,64,
Kizilirmak Delta,DSWX_S1,2024-10,2024,10,54,
Kizilirmak Delta,DSWX_S1,2024-11,2024,11,67,
Kizilirmak Delta,DSWX_S1,2024-12,2024,12,80,
Kizilirmak Delta,DSWX_S1,2025-01,2025,1,64,
Kizilirmak Delta,DSWX_S1,2025-02,2025,2,56,
Kizilirmak Delta,DSWX_S1,2025-03,2025,3,64,
Kizilirmak Delta,DSWX_S1,2025-04,2025,4,56,
Kizilirmak Delta,DSWX_S1,2025-05,2025,5,91,
Kizilirmak Delta,DSWX_S1,2025-06,2025,6,126,
Kizilirmak Delta,DSWX_S1,2025-07,2025,7,147,
Kizilirmak Delta,DSWX_S1,2025-08,2025,8,139,
Kizilirmak Delta,DSWX_S1,2025-09,2025,9,131,
Kizilirmak Delta,DSWX_S1,2025-10,2025,10,277,
Kizilirmak Delta,DSWX_S1,2025-11,2025,11,238,
Kizilirmak Delta,DSWX_S1,2025-12,2025,12,176,
Kizilirmak Delta,DSWX_S1,2026-01,2026,1,170,
Kizilirmak Delta,DSWX_S1,2026-02,2026,2,121,
Kizilirmak Delta,DSWX_S1,2026-03,2026,3,143,
Kizilirmak Delta,DSWX_S1,2026-04,2026,4,139,
Kizilirmak Delta,DSWX_S1,2026-05,2026,5,170,
Kizilirmak Delta,RTC_S1,2023-04,2023,4,24,
Kizilirmak Delta,RTC_S1,2023-05,2023,5,24,
Kizilirmak Delta,RTC_S1,2023-06,2023,6,24,
Kizilirmak Delta,RTC_S1,2023-07,2023,7,24,
Kizilirmak Delta,RTC_S1,2023-08,2023,8,21,
Kizilirmak Delta,RTC_S1,2023-09,2023,9,24,
Kizilirmak Delta,RTC_S1,2023-10,2023,10,18,
Kizilirmak Delta,RTC_S1,2023-11,2023,11,36,
Kizilirmak Delta,RTC_S1,2023-12,2023,12,30,
Kizilirmak Delta,RTC_S1,2024-01,2024,1,33,
Kizilirmak Delta,RTC_S1,2024-02,2024,2,38,
Kizilirmak Delta,RTC_S1,2024-03,2024,3,27,
Kizilirmak Delta,RTC_S1,2024-04,2024,4,21,
Kizilirmak Delta,RTC_S1,2024-05,2024,5,27,
Kizilirmak Delta,RTC_S1,2024-06,2024,6,24,
Kizilirmak Delta,RTC_S1,2024-07,2024,7,24,
Kizilirmak Delta,RTC_S1,2024-08,2024,8,24,
Kizilirmak Delta,RTC_S1,2024-09,2024,9,23,
Kizilirmak Delta,RTC_S1,2024-10,2024,10,24,
Kizilirmak Delta,RTC_S1,2024-11,2024,11,24,
Kizilirmak Delta,RTC_S1,2024-12,2024,12,28,
Kizilirmak Delta,RTC_S1,2025-01,2025,1,24,
Kizilirmak Delta,RTC_S1,2025-02,2025,2,27,
Kizilirmak Delta,RTC_S1,2025-03,2025,3,24,
Kizilirmak Delta,RTC_S1,2025-04,2025,4,24,
Kizilirmak Delta,RTC_S1,2025-05,2025,5,31,
Kizilirmak Delta,RTC_S1,2025-06,2025,6,45,
Kizilirmak Delta,RTC_S1,2025-07,2025,7,51,
Kizilirmak Delta,RTC_S1,2025-08,2025,8,51,
Kizilirmak Delta,RTC_S1,2025-09,2025,9,46,
Kizilirmak Delta,RTC_S1,2025-10,2025,10,56,
Kizilirmak Delta,RTC_S1,2025-11,2025,11,52,
Kizilirmak Delta,RTC_S1,2025-12,2025,12,61,
Kizilirmak Delta,RTC_S1,2026-01,2026,1,60,
Kizilirmak Delta,RTC_S1,2026-02,2026,2,51,
Kizilirmak Delta,RTC_S1,2026-03,2026,3,48,
Kizilirmak Delta,RTC_S1,2026-04,2026,4,54,
Kizilirmak Delta,RTC_S1,2026-05,2026,5,58,
Kizilirmak Delta,S2_SR,2023-04,2023,4,48,
Kizilirmak Delta,S2_SR,2023-05,2023,5,48,
Kizilirmak Delta,S2_SR,2023-06,2023,6,48,
Kizilirmak Delta,S2_SR,2023-07,2023,7,52,
Kizilirmak Delta,S2_SR,2023-08,2023,8,48,
Kizilirmak Delta,S2_SR,2023-09,2023,9,46,
Kizilirmak Delta,S2_SR,2023-10,2023,10,48,
Kizilirmak Delta,S2_SR,2023-11,2023,11,44,
Kizilirmak Delta,S2_SR,2023-12,2023,12,52,
Kizilirmak Delta,S2_SR,2024-01,2024,1,48,
Kizilirmak Delta,S2_SR,2024-02,2024,2,48,
Kizilirmak Delta,S2_SR,2024-03,2024,3,48,
Kizilirmak Delta,S2_SR,2024-04,2024,4,48,
Kizilirmak Delta,S2_SR,2024-05,2024,5,52,
Kizilirmak Delta,S2_SR,2024-06,2024,6,48,
Kizilirmak Delta,S2_SR,2024-07,2024,7,48,
Kizilirmak Delta,S2_SR,2024-08,2024,8,40,
Kizilirmak Delta,S2_SR,2024-09,2024,9,48,
Kizilirmak Delta,S2_SR,2024-10,2024,10,52,
Kizilirmak Delta,S2_SR,2024-11,2024,11,48,
Kizilirmak Delta,S2_SR,2024-12,2024,12,56,
Kizilirmak Delta,S2_SR,2025-01,2025,1,52,
Kizilirmak Delta,S2_SR,2025-02,2025,2,44,
Kizilirmak Delta,S2_SR,2025-03,2025,3,60,
Kizilirmak Delta,S2_SR,2025-04,2025,4,72,
Kizilirmak Delta,S2_SR,2025-05,2025,5,80,
Kizilirmak Delta,S2_SR,2025-06,2025,6,72,
Kizilirmak Delta,S2_SR,2025-07,2025,7,72,
Kizilirmak Delta,S2_SR,2025-08,2025,8,68,
Kizilirmak Delta,S2_SR,2025-09,2025,9,64,
Kizilirmak Delta,S2_SR,2025-10,2025,10,76,
Kizilirmak Delta,S2_SR,2025-11,2025,11,71,
Kizilirmak Delta,S2_SR,2025-12,2025,12,74,
Kizilirmak Delta,S2_SR,2026-01,2026,1,64,
Kizilirmak Delta,S2_SR,2026-02,2026,2,44,
Kizilirmak Delta,S2_SR,2026-03,2026,3,68,
Kizilirmak Delta,S2_SR,2026-04,2026,4,72,
Kizilirmak Delta,S2_SR,2026-05,2026,5,76,
Kizilirmak Delta,S1_GRD,2023-04,2023,4,10,
Kizilirmak Delta,S1_GRD,2023-05,2023,5,11,
Kizilirmak Delta,S1_GRD,2023-06,2023,6,11,
Kizilirmak Delta,S1_GRD,2023-07,2023,7,10,
Kizilirmak Delta,S1_GRD,2023-08,2023,8,10,
Kizilirmak Delta,S1_GRD,2023-09,2023,9,10,
Kizilirmak Delta,S1_GRD,2023-10,2023,10,9,
Kizilirmak Delta,S1_GRD,2023-11,2023,11,10,
Kizilirmak Delta,S1_GRD,2023-12,2023,12,10,
Kizilirmak Delta,S1_GRD,2024-01,2024,1,10,
Kizilirmak Delta,S1_GRD,2024-02,2024,2,10,
Kizilirmak Delta,S1_GRD,2024-03,2024,3,10,
Kizilirmak Delta,S1_GRD,2024-04,2024,4,10,
Kizilirmak Delta,S1_GRD,2024-05,2024,5,12,
Kizilirmak Delta,S1_GRD,2024-06,2024,6,9,
Kizilirmak Delta,S1_GRD,2024-07,2024,7,11,
Kizilirmak Delta,S1_GRD,2024-08,2024,8,10,
Kizilirmak Delta,S1_GRD,2024-09,2024,9,10,
Kizilirmak Delta,S1_GRD,2024-10,2024,10,10,
Kizilirmak Delta,S1_GRD,2024-11,2024,11,10,
Kizilirmak Delta,S1_GRD,2024-12,2024,12,10,
Kizilirmak Delta,S1_GRD,2025-01,2025,1,10,
Kizilirmak Delta,S1_GRD,2025-02,2025,2,10,
Kizilirmak Delta,S1_GRD,2025-03,2025,3,14,
Kizilirmak Delta,S1_GRD,2025-04,2025,4,20,
Kizilirmak Delta,S1_GRD,2025-05,2025,5,24,
Kizilirmak Delta,S1_GRD,2025-06,2025,6,21,
Kizilirmak Delta,S1_GRD,2025-07,2025,7,26,
Kizilirmak Delta,S1_GRD,2025-08,2025,8,25,
Kizilirmak Delta,S1_GRD,2025-09,2025,9,21,
Kizilirmak Delta,S1_GRD,2025-10,2025,10,23,
Kizilirmak Delta,S1_GRD,2025-11,2025,11,21,
Kizilirmak Delta,S1_GRD,2025-12,2025,12,24,
Kizilirmak Delta,S1_GRD,2026-01,2026,1,21,
Kizilirmak Delta,S1_GRD,2026-02,2026,2,24,
Kizilirmak Delta,S1_GRD,2026-03,2026,3,21,
Kizilirmak Delta,S1_GRD,2026-04,2026,4,33,
Kizilirmak Delta,S1_GRD,2026-05,2026,5,30,
Ataturk Reservoir,DSWX_HLS,2023-04,2023,4,47,58.680851063829785
Ataturk Reservoir,DSWX_HLS,2023-05,2023,5,48,43.666666666666664
Ataturk Reservoir,DSWX_HLS,2023-06,2023,6,50,13.34
Ataturk Reservoir,DSWX_HLS,2023-07,2023,7,54,5.481481481481482
Ataturk Reservoir,DSWX_HLS,2023-08,2023,8,42,2.1666666666666665
Ataturk Reservoir,DSWX_HLS,2023-09,2023,9,50,8.36
Ataturk Reservoir,DSWX_HLS,2023-10,2023,10,47,32.12765957446808
Ataturk Reservoir,DSWX_HLS,2023-11,2023,11,47,36.319148936170215
Ataturk Reservoir,DSWX_HLS,2023-12,2023,12,36,68.58333333333333
Ataturk Reservoir,DSWX_HLS,2024-01,2024,1,35,55.8
Ataturk Reservoir,DSWX_HLS,2024-02,2024,2,45,54.62222222222222
Ataturk Reservoir,DSWX_HLS,2024-03,2024,3,46,41.5
Ataturk Reservoir,DSWX_HLS,2024-04,2024,4,53,34.35849056603774
Ataturk Reservoir,DSWX_HLS,2024-05,2024,5,54,46.111111111111114
Ataturk Reservoir,DSWX_HLS,2024-06,2024,6,50,8.08
Ataturk Reservoir,DSWX_HLS,2024-07,2024,7,52,4.788461538461538
Ataturk Reservoir,DSWX_HLS,2024-08,2024,8,49,4.73469387755102
Ataturk Reservoir,DSWX_HLS,2024-09,2024,9,52,16.596153846153847
Ataturk Reservoir,DSWX_HLS,2024-10,2024,10,52,18.365384615384617
Ataturk Reservoir,DSWX_HLS,2024-11,2024,11,49,43.224489795918366
Ataturk Reservoir,DSWX_HLS,2024-12,2024,12,35,45.17142857142857
Ataturk Reservoir,DSWX_HLS,2025-01,2025,1,52,37.0
Ataturk Reservoir,DSWX_HLS,2025-02,2025,2,45,58.86666666666667
Ataturk Reservoir,DSWX_HLS,2025-03,2025,3,58,47.05172413793103
Ataturk Reservoir,DSWX_HLS,2025-04,2025,4,62,55.58064516129032
Ataturk Reservoir,DSWX_HLS,2025-05,2025,5,76,27.06578947368421
Ataturk Reservoir,DSWX_HLS,2025-06,2025,6,73,5.3561643835616435
Ataturk Reservoir,DSWX_HLS,2025-07,2025,7,81,12.617283950617283
Ataturk Reservoir,DSWX_HLS,2025-08,2025,8,72,1.6944444444444444
Ataturk Reservoir,DSWX_HLS,2025-09,2025,9,75,4.933333333333334
Ataturk Reservoir,DSWX_HLS,2025-10,2025,10,80,19.95
Ataturk Reservoir,DSWX_HLS,2025-11,2025,11,116,42.28448275862069
Ataturk Reservoir,DSWX_HLS,2025-12,2025,12,134,51.03731343283582
Ataturk Reservoir,DSWX_HLS,2026-01,2026,1,54,52.370370370370374
Ataturk Reservoir,DSWX_HLS,2026-02,2026,2,65,43.184615384615384
Ataturk Reservoir,DSWX_HLS,2026-03,2026,3,54,59.851851851851855
Ataturk Reservoir,DSWX_HLS,2026-04,2026,4,70,50.07142857142857
Ataturk Reservoir,DSWX_HLS,2026-05,2026,5,74,49.33783783783784
Ataturk Reservoir,DSWX_S1,2023-04,2023,4,0,
Ataturk Reservoir,DSWX_S1,2023-05,2023,5,0,
Ataturk Reservoir,DSWX_S1,2023-06,2023,6,0,
Ataturk Reservoir,DSWX_S1,2023-07,2023,7,0,
Ataturk Reservoir,DSWX_S1,2023-08,2023,8,0,
Ataturk Reservoir,DSWX_S1,2023-09,2023,9,0,
Ataturk Reservoir,DSWX_S1,2023-10,2023,10,0,
Ataturk Reservoir,DSWX_S1,2023-11,2023,11,0,
Ataturk Reservoir,DSWX_S1,2023-12,2023,12,0,
Ataturk Reservoir,DSWX_S1,2024-01,2024,1,0,
Ataturk Reservoir,DSWX_S1,2024-02,2024,2,0,
Ataturk Reservoir,DSWX_S1,2024-03,2024,3,0,
Ataturk Reservoir,DSWX_S1,2024-04,2024,4,0,
Ataturk Reservoir,DSWX_S1,2024-05,2024,5,0,
Ataturk Reservoir,DSWX_S1,2024-06,2024,6,0,
Ataturk Reservoir,DSWX_S1,2024-07,2024,7,0,
Ataturk Reservoir,DSWX_S1,2024-08,2024,8,32,
Ataturk Reservoir,DSWX_S1,2024-09,2024,9,49,
Ataturk Reservoir,DSWX_S1,2024-10,2024,10,44,
Ataturk Reservoir,DSWX_S1,2024-11,2024,11,52,
Ataturk Reservoir,DSWX_S1,2024-12,2024,12,53,
Ataturk Reservoir,DSWX_S1,2025-01,2025,1,85,
Ataturk Reservoir,DSWX_S1,2025-02,2025,2,46,
Ataturk Reservoir,DSWX_S1,2025-03,2025,3,47,
Ataturk Reservoir,DSWX_S1,2025-04,2025,4,45,
Ataturk Reservoir,DSWX_S1,2025-05,2025,5,81,
Ataturk Reservoir,DSWX_S1,2025-06,2025,6,134,
Ataturk Reservoir,DSWX_S1,2025-07,2025,7,104,
Ataturk Reservoir,DSWX_S1,2025-08,2025,8,118,
Ataturk Reservoir,DSWX_S1,2025-09,2025,9,103,
Ataturk Reservoir,DSWX_S1,2025-10,2025,10,190,
Ataturk Reservoir,DSWX_S1,2025-11,2025,11,140,
Ataturk Reservoir,DSWX_S1,2025-12,2025,12,156,
Ataturk Reservoir,DSWX_S1,2026-01,2026,1,145,
Ataturk Reservoir,DSWX_S1,2026-02,2026,2,203,
Ataturk Reservoir,DSWX_S1,2026-03,2026,3,104,
Ataturk Reservoir,DSWX_S1,2026-04,2026,4,101,
Ataturk Reservoir,DSWX_S1,2026-05,2026,5,136,
Ataturk Reservoir,RTC_S1,2023-04,2023,4,103,
Ataturk Reservoir,RTC_S1,2023-05,2023,5,92,
Ataturk Reservoir,RTC_S1,2023-06,2023,6,103,
Ataturk Reservoir,RTC_S1,2023-07,2023,7,105,
Ataturk Reservoir,RTC_S1,2023-08,2023,8,97,
Ataturk Reservoir,RTC_S1,2023-09,2023,9,103,
Ataturk Reservoir,RTC_S1,2023-10,2023,10,79,
Ataturk Reservoir,RTC_S1,2023-11,2023,11,147,
Ataturk Reservoir,RTC_S1,2023-12,2023,12,111,
Ataturk Reservoir,RTC_S1,2024-01,2024,1,137,
Ataturk Reservoir,RTC_S1,2024-02,2024,2,174,
Ataturk Reservoir,RTC_S1,2024-03,2024,3,127,
Ataturk Reservoir,RTC_S1,2024-04,2024,4,92,
Ataturk Reservoir,RTC_S1,2024-05,2024,5,103,
Ataturk Reservoir,RTC_S1,2024-06,2024,6,85,
Ataturk Reservoir,RTC_S1,2024-07,2024,7,110,
Ataturk Reservoir,RTC_S1,2024-08,2024,8,110,
Ataturk Reservoir,RTC_S1,2024-09,2024,9,92,
Ataturk Reservoir,RTC_S1,2024-10,2024,10,103,
Ataturk Reservoir,RTC_S1,2024-11,2024,11,85,
Ataturk Reservoir,RTC_S1,2024-12,2024,12,96,
Ataturk Reservoir,RTC_S1,2025-01,2025,1,119,
Ataturk Reservoir,RTC_S1,2025-02,2025,2,116,
Ataturk Reservoir,RTC_S1,2025-03,2025,3,105,
Ataturk Reservoir,RTC_S1,2025-04,2025,4,116,
Ataturk Reservoir,RTC_S1,2025-05,2025,5,131,
Ataturk Reservoir,RTC_S1,2025-06,2025,6,201,
Ataturk Reservoir,RTC_S1,2025-07,2025,7,195,
Ataturk Reservoir,RTC_S1,2025-08,2025,8,215,
Ataturk Reservoir,RTC_S1,2025-09,2025,9,179,
Ataturk Reservoir,RTC_S1,2025-10,2025,10,266,
Ataturk Reservoir,RTC_S1,2025-11,2025,11,196,
Ataturk Reservoir,RTC_S1,2025-12,2025,12,196,
Ataturk Reservoir,RTC_S1,2026-01,2026,1,194,
Ataturk Reservoir,RTC_S1,2026-02,2026,2,235,
Ataturk Reservoir,RTC_S1,2026-03,2026,3,195,
Ataturk Reservoir,RTC_S1,2026-04,2026,4,195,
Ataturk Reservoir,RTC_S1,2026-05,2026,5,186,
Ataturk Reservoir,S2_SR,2023-04,2023,4,36,
Ataturk Reservoir,S2_SR,2023-05,2023,5,36,
Ataturk Reservoir,S2_SR,2023-06,2023,6,36,
Ataturk Reservoir,S2_SR,2023-07,2023,7,38,
Ataturk Reservoir,S2_SR,2023-08,2023,8,33,
Ataturk Reservoir,S2_SR,2023-09,2023,9,36,
Ataturk Reservoir,S2_SR,2023-10,2023,10,40,
Ataturk Reservoir,S2_SR,2023-11,2023,11,34,
Ataturk Reservoir,S2_SR,2023-12,2023,12,36,
Ataturk Reservoir,S2_SR,2024-01,2024,1,36,
Ataturk Reservoir,S2_SR,2024-02,2024,2,36,
Ataturk Reservoir,S2_SR,2024-03,2024,3,36,
Ataturk Reservoir,S2_SR,2024-04,2024,4,38,
Ataturk Reservoir,S2_SR,2024-05,2024,5,38,
Ataturk Reservoir,S2_SR,2024-06,2024,6,36,
Ataturk Reservoir,S2_SR,2024-07,2024,7,36,
Ataturk Reservoir,S2_SR,2024-08,2024,8,36,
Ataturk Reservoir,S2_SR,2024-09,2024,9,36,
Ataturk Reservoir,S2_SR,2024-10,2024,10,36,
Ataturk Reservoir,S2_SR,2024-11,2024,11,33,
Ataturk Reservoir,S2_SR,2024-12,2024,12,38,
Ataturk Reservoir,S2_SR,2025-01,2025,1,40,
Ataturk Reservoir,S2_SR,2025-02,2025,2,34,
Ataturk Reservoir,S2_SR,2025-03,2025,3,48,
Ataturk Reservoir,S2_SR,2025-04,2025,4,56,
Ataturk Reservoir,S2_SR,2025-05,2025,5,56,
Ataturk Reservoir,S2_SR,2025-06,2025,6,55,
Ataturk Reservoir,S2_SR,2025-07,2025,7,57,
Ataturk Reservoir,S2_SR,2025-08,2025,8,56,
Ataturk Reservoir,S2_SR,2025-09,2025,9,54,
Ataturk Reservoir,S2_SR,2025-10,2025,10,54,
Ataturk Reservoir,S2_SR,2025-11,2025,11,50,
Ataturk Reservoir,S2_SR,2025-12,2025,12,57,
Ataturk Reservoir,S2_SR,2026-01,2026,1,40,
Ataturk Reservoir,S2_SR,2026-02,2026,2,34,
Ataturk Reservoir,S2_SR,2026-03,2026,3,48,
Ataturk Reservoir,S2_SR,2026-04,2026,4,50,
Ataturk Reservoir,S2_SR,2026-05,2026,5,56,
Ataturk Reservoir,S1_GRD,2023-04,2023,4,10,
Ataturk Reservoir,S1_GRD,2023-05,2023,5,10,
Ataturk Reservoir,S1_GRD,2023-06,2023,6,10,
Ataturk Reservoir,S1_GRD,2023-07,2023,7,11,
Ataturk Reservoir,S1_GRD,2023-08,2023,8,10,
Ataturk Reservoir,S1_GRD,2023-09,2023,9,10,
Ataturk Reservoir,S1_GRD,2023-10,2023,10,9,
Ataturk Reservoir,S1_GRD,2023-11,2023,11,10,
Ataturk Reservoir,S1_GRD,2023-12,2023,12,10,
Ataturk Reservoir,S1_GRD,2024-01,2024,1,10,
Ataturk Reservoir,S1_GRD,2024-02,2024,2,11,
Ataturk Reservoir,S1_GRD,2024-03,2024,3,10,
Ataturk Reservoir,S1_GRD,2024-04,2024,4,10,
Ataturk Reservoir,S1_GRD,2024-05,2024,5,10,
Ataturk Reservoir,S1_GRD,2024-06,2024,6,9,
Ataturk Reservoir,S1_GRD,2024-07,2024,7,11,
Ataturk Reservoir,S1_GRD,2024-08,2024,8,11,
Ataturk Reservoir,S1_GRD,2024-09,2024,9,10,
Ataturk Reservoir,S1_GRD,2024-10,2024,10,10,
Ataturk Reservoir,S1_GRD,2024-11,2024,11,9,
Ataturk Reservoir,S1_GRD,2024-12,2024,12,9,
Ataturk Reservoir,S1_GRD,2025-01,2025,1,10,
Ataturk Reservoir,S1_GRD,2025-02,2025,2,10,
Ataturk Reservoir,S1_GRD,2025-03,2025,3,13,
Ataturk Reservoir,S1_GRD,2025-04,2025,4,27,
Ataturk Reservoir,S1_GRD,2025-05,2025,5,25,
Ataturk Reservoir,S1_GRD,2025-06,2025,6,27,
Ataturk Reservoir,S1_GRD,2025-07,2025,7,25,
Ataturk Reservoir,S1_GRD,2025-08,2025,8,26,
Ataturk Reservoir,S1_GRD,2025-09,2025,9,22,
Ataturk Reservoir,S1_GRD,2025-10,2025,10,28,
Ataturk Reservoir,S1_GRD,2025-11,2025,11,22,
Ataturk Reservoir,S1_GRD,2025-12,2025,12,24,
Ataturk Reservoir,S1_GRD,2026-01,2026,1,22,
Ataturk Reservoir,S1_GRD,2026-02,2026,2,25,
Ataturk Reservoir,S1_GRD,2026-03,2026,3,25,
Ataturk Reservoir,S1_GRD,2026-04,2026,4,34,
Ataturk Reservoir,S1_GRD,2026-05,2026,5,39,
